Population,Area,Children,Age,Income,Marital,Gender,Churn,Outage_sec_perweek,Email,Contacts,Yearly_equip_failure,Techie,Contract,Port_modem,Tablet,InternetService,Phone,Multiple,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,PaymentMethod,Tenure,MonthlyCharge,Bandwidth_GB_Year
38,Urban,0,68,28561.99,Not_Married,Male,False,7.978322947,10,0,1,False,One year,True,True,Fiber Optic,True,False,True,True,False,False,False,True,True,Auto,6.795512947,172.455519,904.5361102
10446,Urban,1,27,21704.77,Married,Female,True,11.69907956,12,0,1,True,Month-to-month,False,True,Fiber Optic,True,True,True,False,False,False,True,True,True,Auto,1.156680997,242.632554,800.9827661
3735,Urban,4,50,9609.57,Not_Married,Female,False,10.75280028,9,0,1,True,Two Year,True,False,DSL,True,True,False,False,False,False,False,True,True,Auto,15.75414408,159.947583,2054.706961
13863,Suburban,1,48,18925.23,Married,Male,False,14.91353964,15,2,0,True,Two Year,False,False,DSL,True,False,True,False,False,False,True,False,True,Check,17.08722662,119.95684,2164.579412
11352,Suburban,0,83,40074.19,Not_Married,Male,True,8.147416533,16,2,1,False,Month-to-month,True,False,Fiber Optic,False,False,False,False,False,True,True,False,False,Check,1.670971726,149.948316,271.4934362
17701,Urban,3,83,22660.2,Not_Married,Female,False,8.420992898,15,3,1,False,One year,True,False,None,True,True,True,True,True,False,False,True,False,Auto,7.000993555,185.007692,1039.357983
2535,Suburban,0,79,11467.5,Not_Married,Male,True,11.18272453,10,0,1,True,Month-to-month,False,False,DSL,True,False,False,False,False,True,True,True,False,Auto,13.23677381,200.118516,1907.242972
23144,Suburban,2,30,26759.64,Married,Female,True,7.791632265,16,0,0,True,Month-to-month,False,False,DSL,False,False,False,True,False,False,False,False,True,Check,4.26425515,114.950905,979.6127078
17351,Suburban,2,49,58634.51,Not_Married,Nonbinary,False,5.739005915,20,2,3,False,Month-to-month,True,False,DSL,True,False,True,True,False,False,False,False,True,Auto,8.220686373,117.468591,1312.874964
20193,Rural,1,86,50231.4,Married,Female,False,8.707823904,18,1,0,False,Two Year,True,False,Fiber Optic,True,False,True,False,True,False,False,True,True,Check,3.422086139,162.482694,508.7637913
555,Urban,7,23,22580.7,Not_Married,Female,False,9.341631685,9,0,2,False,Month-to-month,False,False,DSL,True,True,True,True,False,False,True,False,False,Check,19.26726194,174.958118,2728.767869
33372,Rural,2,56,18342.12,Married,Female,False,6.68082638,17,1,1,False,Month-to-month,True,False,Fiber Optic,True,False,False,False,True,False,True,False,False,Auto,10.52199781,149.962093,1180.588788
556,Rural,0,83,83671.08,Not_Married,Male,False,8.273875452,9,0,0,False,Month-to-month,True,False,Fiber Optic,True,False,False,False,False,False,True,False,False,Auto,13.01149229,137.439154,1196.388018
0,Urban,5,29,115114.57,Not_Married,Female,False,5.880565591,14,1,0,False,Two Year,True,True,Fiber Optic,True,True,True,False,False,True,True,False,True,Auto,16.87922024,184.971516,1948.694497
8165,Urban,1,30,64256.81,Not_Married,Male,True,11.79073041,10,3,0,False,Month-to-month,False,False,DSL,False,True,False,True,False,True,False,False,True,Auto,10.06019902,159.965581,1582.295235
2093,Suburban,3,39,89061.45,Not_Married,Male,True,10.79846973,13,1,0,False,One year,False,False,None,True,False,True,False,False,False,True,True,True,Auto,13.87001293,177.65076,1840.014467
50079,Urban,0,63,31659.3,Married,Female,True,13.52284721,13,1,0,False,Month-to-month,True,False,DSL,True,True,False,True,True,False,False,True,True,Auto,15.78214958,194.966286,2070.376729
7249,Rural,2,60,44142.81,Not_Married,Male,True,9.831166695,16,3,0,False,Two Year,False,False,None,True,False,True,False,True,True,True,True,False,Check,2.303331273,202.682861,882.0985933
9463,Rural,3,61,39262.14,Not_Married,Female,False,9.57470568,11,1,0,True,Two Year,True,False,None,True,False,False,True,True,True,True,False,True,Auto,17.10995632,152.490739,1833.0967
3177,Rural,3,23,19494.75,Not_Married,Male,True,10.92246098,10,1,0,False,Month-to-month,True,False,DSL,True,True,False,False,False,False,True,False,True,Auto,12.80615845,149.944668,1954.080809
69,Rural,4,38,39624.21,Not_Married,Male,False,12.06889188,14,0,3,False,Month-to-month,False,False,Fiber Optic,True,False,True,True,True,False,False,True,True,Auto,20.45390977,184.978458,2330.319383
14440,Suburban,3,30,45714.47,Not_Married,Male,False,6.984819996,18,1,0,False,Two Year,False,True,Fiber Optic,True,False,True,False,True,False,False,False,False,Auto,2.415991977,127.495766,594.1054279
381,Urban,3,52,27442.03,Not_Married,Male,False,9.372975594,16,1,1,False,Month-to-month,False,False,Fiber Optic,True,False,False,False,False,True,False,False,True,Auto,6.652298992,124.964303,713.0633088
2193,Urban,2,68,79699.62,Not_Married,Male,False,7.109002592,9,0,0,False,One year,True,False,Fiber Optic,True,False,False,False,False,True,True,False,True,Auto,8.543717478,149.948316,945.3802928
9434,Rural,3,75,28520.32,Not_Married,Female,True,13.74777955,15,1,0,False,Month-to-month,False,True,None,True,True,True,False,True,False,False,True,False,Auto,5.770390256,162.511928,870.76398
29568,Suburban,1,77,12558.83,Not_Married,Male,True,9.767668044,12,1,0,False,Month-to-month,False,True,DSL,True,False,False,False,False,False,False,False,False,Auto,4.157658837,92.455141,774.2937069
3089,Rural,1,47,8762.23,Married,Female,True,15.8626095,15,0,1,False,Month-to-month,True,False,Fiber Optic,True,False,True,False,True,False,True,True,False,Check,10.40566091,222.649979,1506.446527
5652,Urban,0,70,43882.72,Not_Married,Female,True,14.73616645,12,0,0,False,Month-to-month,True,False,None,True,False,False,True,True,False,True,False,True,Auto,1.392421597,139.981577,419.0508708
