MonthlyCharge,Tenure,Churn,Number
140.0013,11.51439,False,39
129.9763,8.436679,True,27
200.1465,1.474087,True,42
104.964303,11.19078648,True,13
232.62403,8.063547235,True,8
275.1198,68.68812,False,88
172.470522,14.28406007,False,17
169.9671,59.14986,False,84
127.4738,19.56364,False,35
172.4441,70.41272,False,95
204.9634,66.33852,False,81
172.455519,6.795512947,False,0
187.6422,51.58781,False,67
150.007,65.52904,False,55
162.5005,7.916586,True,30
149.9598,16.05802,False,36
125.0073,54.23845,False,71
102.4746,48.95286,False,61
114.9509,49.30109,False,64
242.61428,16.62593689,True,10
134.9801,70.64245,False,98
149.9778,66.29727,False,80
159.9875,6.483314,False,38
169.9447,66.37037,False,70
204.963371,2.656111103,False,15
104.9643,67.91991,False,56
149.9378,52.30521,False,92
149.977753,16.1217624,False,6
112.4844,68.53091,False,53
162.4827,44.09777,False,60
117.487242,9.84141211,False,7
192.4404,7.521969,True,45
127.4586,62.19865,False,65
139.9979,54.7248,False,63
287.6427,65.52483,False,78
242.6435,15.35499,True,49
240.1149,47.92804,True,51
92.455141,11.91663193,False,5
242.6326,44.14809,False,85
149.9778,4.93863,False,34
124.9607,10.7285,False,22
134.9801,41.17585,False,94
194.9744,1.669639,False,40
152.4907,54.53013,False,79
117.4392,5.954975,True,28
210.127,4.235635,True,24
182.497044,8.154668093,False,18
222.660939,14.46288204,True,1
162.4608,71.11137,False,86
187.46728,2.440923609,True,11
132.4798,50.88709,False,99
172.5104,5.459489,False,21
242.657291,16.3364928,True,19
79.97886,7.542197,False,32
252.637807,1.474810061,True,2
139.9512,42.22682,False,52
200.1652,56.78316,False,75
179.9656,56.53814,False,73
162.4713,49.16112,False,97
139.9816,67.98776,False,77
149.9483,63.76818,False,54
169.9671,10.35845,False,46
162.4526,62.54412,False,66
159.9794,12.359,False,26
112.4551,59.66274,False,58
137.4686,3.627104,False,25
137.469817,14.87053577,False,16
152.466,63.86407,False,74
137.4686,6.142753,False,48
169.9741,49.67473,False,82
