MonthlyCharge,Tenure,Churn,Number
182.4433,16.64015,True,37
184.9496,62.43544,False,62
245.1283,61.75393,False,83
182.483267,7.59915732,False,14
137.5165,1.649887,False,43
129.962093,11.55987401,True,9
159.9512,10.35635,False,44
192.4404,3.493433,True,31
200.1185,70.84512,False,69
127.475,70.62907,False,57
127.5112,4.459961,True,33
169.9447,71.85451,False,87
159.987503,1.784103787,False,12
245.147,66.70866,False,91
245.1457,11.94952,False,41
172.4555,5.111421,False,23
92.45514,58.43075,False,76
152.4798,11.26136,False,29
169.9741,41.88907,False,50
255.1336,39.4081,True,68
214.952509,4.439685675,False,3
220.118516,8.611218573,True,4
157.4836,69.35043,False,90
162.4833,49.40819,False,72
242.6573,10.50826,True,20
174.9618,71.82846,False,59
277.6513,69.00321,False,93
212.6557,59.89979,False,96
232.652,56.32657,False,89
277.6513,4.581601,True,47
