,MonthlyCharge,Tenure,Churn,Number
4847,92.48802,9.525184,False,4847
9992,137.4392,56.47233,False,9992
4621,124.9643,2.611838,False,4621
5774,139.983,58.78687,False,5774
9294,255.1198,64.11559,False,9294
1085,202.443347,17.48396291,False,1085
1073,142.468917,16.64037206,True,1073
950,150.006987,2.253077812,False,950
9512,169.9378,68.20701,False,9512
3773,194.9663,4.745801,True,3773
6474,127.4738,60.6238,False,6474
6976,194.9525,48.29423,False,6976
5715,132.466,54.78051,False,5715
9164,104.9629,69.62503,False,9164
4971,232.624,14.74826,True,4971
230,267.642733,5.049303717,True,230
9924,220.1615,67.09737,False,9924
4655,179.9476,8.512387,True,4655
1094,139.951231,6.791270714,True,1094
1729,154.991856,6.027648047,True,1729
1556,172.487091,11.32593703,False,1556
9253,172.4705,65.85662,False,9253
8955,182.4653,51.53504,False,8955
1443,182.476229,7.840871292,True,1443
5439,129.9915,52.79234,False,5439
1234,172.510442,9.417609509,False,1234
9744,119.9568,57.1358,False,9744
9373,162.497,63.27923,False,9373
460,252.62403,9.461939857,True,460
3118,172.4579,11.00718,True,3118
6742,172.4871,65.66392,False,6742
3425,270.1604,5.685414,True,3425
9303,220.1323,60.36923,False,9303
2319,139.9792,6.137692,False,2319
2117,197.6288,5.003409,True,2117
881,152.47417,5.295927221,True,881
5002,169.9671,61.5999,False,5002
1475,222.649979,10.404813,True,1475
8780,192.4885,60.72007,False,8780
3945,252.6378,25.43212,True,3945
4813,114.9509,29.58658,False,4813
5324,162.4526,47.1075,False,5324
2502,162.4713,24.14282,False,2502
9477,257.6375,61.54459,False,9477
7352,162.5007,66.86351,False,7352
725,159.947583,9.820011726,True,725
134,112.455141,9.482919033,False,134
6470,187.4673,68.03515,False,6470
1,242.632554,1.156680997,True,1
6331,172.4624,69.48178,False,6331
3750,117.4392,16.05745,True,3750
2052,242.6106,2.051657,True,2052
291,169.974105,18.9537053,False,291
2788,102.4746,6.487048,False,2788
3107,149.9378,7.53282,False,3107
3473,129.9621,5.318865,False,3473
843,212.641455,5.130341596,True,843
8497,194.9699,51.58987,False,8497
5643,252.6378,67.93291,False,5643
6151,127.4601,44.75964,False,6151
2631,137.4872,1.84687,False,2631
3579,157.4698,13.33383,False,3579
3245,147.4564,16.23853,False,3245
7463,162.4827,55.19347,False,7463
683,112.484375,7.847288476,False,683
9333,129.9621,69.69574,False,9333
2562,184.9647,18.81683,False,2562
7939,107.4958,64.91404,False,7939
8845,217.4702,53.60305,False,8845
5430,197.6288,67.39149,False,5430
2878,169.9447,6.6307,False,2878
868,127.458638,8.791194482,False,868
6053,127.4421,48.02057,False,6053
9977,245.1283,66.25635,False,9977
5658,127.4738,60.76709,False,5658
6967,179.9476,56.19888,False,6967
6152,199.9902,65.79896,False,6152
6776,192.4885,60.17878,False,6776
8838,242.6573,51.67488,True,8838
5539,125.0073,59.6877,False,5539
7466,137.4392,64.15093,False,7466
1382,130.024412,4.891651665,False,1382
5235,114.9728,71.52864,False,5235
2179,137.4392,4.632153,False,2179
5501,139.9979,65.33592,False,5501
7247,172.4742,45.19194,False,7247
8389,79.97886,56.43572,False,8389
1796,235.137219,14.42671843,True,1796
4914,144.9889,11.40635,True,4914
7106,139.965,70.8569,False,7106
2362,127.482,1.5183,False,2362
1610,172.456745,2.294386519,False,1610
4634,187.6094,12.65954,True,4634
9571,159.9656,54.67286,False,9571
3114,159.9476,1.304537,True,3114
3965,200.1323,11.5365,False,3965
3929,124.9643,7.778058,False,3929
4288,175.0062,22.05456,False,4288
9756,137.4392,50.49242,False,9756
5638,129.9915,71.93174,False,5638
3976,220.1185,9.104003,True,3976
4018,194.9663,19.70995,False,4018
6688,117.4858,66.8244,False,6688
8999,129.9763,64.61898,False,8999
9901,222.6143,67.25434,True,9901
2596,162.4937,10.02603,True,2596
9802,124.9607,49.94733,False,9802
4567,172.4733,2.804449,True,4567
416,127.460067,6.417132666,False,416
3286,182.4608,22.25056,True,3286
7379,230.1344,51.83423,False,7379
2473,194.9525,2.446064,True,2473
6469,197.6288,36.26479,False,6469
1482,129.962093,20.13119126,True,1482
3975,287.6427,3.430472,True,3975
5034,212.6415,64.9788,False,5034
8525,184.9785,62.59584,False,8525
7347,230.1344,63.88775,False,7347
27,139.981577,1.392421597,True,27
5794,162.5299,67.65646,False,5794
363,159.965008,12.29558653,True,363
4733,182.4833,8.031947,True,4733
177,207.609354,3.701557118,True,177
2932,157.4836,22.38582,False,2932
5412,162.5007,44.69494,False,5412
5379,152.4624,63.38899,False,5379
5578,162.4653,59.2505,False,5578
431,184.978458,5.02568958,True,431
4855,227.4754,15.1631,True,4855
6703,202.65,64.67729,False,6703
9000,157.4836,69.35043,False,9000
8044,112.4844,65.9999,False,8044
5401,114.9838,65.24071,False,5401
5877,114.9509,60.92178,False,5877
752,195.006206,14.08292576,False,752
6235,262.6106,55.20546,True,6235
4175,124.9607,13.70911,False,4175
7529,270.1604,50.65407,True,7529
8400,169.9671,59.14986,False,8400
9870,114.9728,54.02641,False,9870
6802,120.0035,71.50744,False,6802
8374,162.447,59.48183,False,8374
2192,159.9476,17.98438,True,2192
3517,114.9509,2.921217,False,3517
4624,79.97886,10.14235,False,4624
5195,255.1665,59.05164,True,5195
1788,247.664655,2.095488213,True,1788
9768,245.1283,69.08879,False,9768
1055,232.641455,8.713385365,True,1055
5676,92.5018,68.00844,False,5676
421,162.460772,3.238699239,False,421
8441,112.4844,66.74044,False,8441
4643,124.9607,20.91805,True,4643
268,220.114868,7.425503428,True,268
25,92.455141,4.157658837,True,25
7309,207.6094,64.29382,False,7309
8886,182.4676,63.39683,False,8886
2360,169.9378,20.14176,False,2360
3018,182.4653,21.73641,False,3018
6543,174.9699,40.87895,False,6543
8169,182.4538,56.36817,False,8169
336,124.960655,6.485034974,True,336
9690,129.995,48.07729,False,9690
206,174.975543,3.043063167,False,206
6049,154.9618,67.57419,False,6049
4493,177.6508,15.73713,False,4493
8322,210.127,66.16108,False,8322
6219,172.4848,62.8196,False,6219
3427,192.4567,4.075856,True,3427
7345,174.9919,66.49135,False,7345
9813,129.9778,40.43984,False,9813
3641,137.4872,3.636783,False,3641
8180,204.9634,63.60495,False,8180
3746,287.6427,5.962119,True,3746
162,139.934918,5.972864167,False,162
4752,152.4441,11.89052,False,4752
2295,210.1051,14.7857,True,2295
