,Churn,Tenure,MonthlyCharge
0,No,6.795512947,172.455519
1,Yes,1.156680997,242.632554
2,No,15.75414408,159.947583
3,No,17.08722662,119.95684
4,Yes,1.670971726,149.948316
5,No,7.000993555,185.007692
6,Yes,13.23677381,200.118516
7,Yes,4.26425515,114.950905
8,No,8.220686373,117.468591
9,No,3.422086139,162.482694
10,No,19.26726194,174.958118
11,No,10.52199781,149.962093
12,No,13.01149229,137.439154
13,No,16.87922024,184.971516
14,Yes,10.06019902,159.965581
15,Yes,13.87001293,177.65076
16,Yes,15.78214958,194.966286
17,Yes,2.303331273,202.682861
18,No,17.10995632,152.490739
19,Yes,12.80615845,149.944668
20,No,20.45390977,184.978458
21,No,2.415991977,127.495766
22,No,6.652298992,124.964303
23,No,8.543717478,149.948316
24,Yes,5.770390256,162.511928
25,Yes,4.157658837,92.455141
26,Yes,10.40566091,222.649979
27,Yes,1.392421597,139.981577
28,Yes,1.430386349,200.132293
29,Yes,5.425864884,257.651257
30,No,11.08287797,230.105118
31,No,3.586184954,147.489301
32,Yes,4.727388465,230.105118
33,Yes,20.89923386,174.958118
34,Yes,3.471329958,267.664655
35,Yes,5.478588204,162.483267
36,Yes,3.312991809,229.993134
37,No,7.161561527,140.00128
38,No,9.847563364,184.964681
39,No,16.04202196,147.473844
40,No,9.179779682,172.457857
41,No,3.002844144,107.481989
42,Yes,3.924254455,255.141716
43,No,18.55959629,192.456745
44,Yes,8.798394712,242.632554
45,Yes,10.377366,245.174977
46,Yes,22.25746016,184.964681
47,Yes,9.427146079,195.006206
48,No,7.760290062,104.962874
49,No,11.56938439,92.488023
50,Yes,3.343811019,184.979684
51,Yes,7.338869531,187.656013
52,No,5.486534225,149.962093
53,Yes,1.55278221,169.944668
54,Yes,12.07970325,160.00128
55,No,13.98666226,129.962093
56,Yes,9.563362997,114.950905
57,No,6.732948946,142.515576
58,Yes,15.72071086,220.14775
59,No,7.233605493,124.97808
60,No,2.871017037,164.964681
61,No,2.344875382,194.976769
62,Yes,7.960490246,152.455519
63,No,12.25062113,92.5018
64,No,9.634946079,127.488728
65,No,7.916533093,184.963371
66,Yes,4.471254161,265.146969
67,Yes,10.79028074,207.609354
68,No,12.24190682,152.462354
69,Yes,2.203859443,200.132293
70,Yes,23.92132231,212.655686
71,Yes,3.7311787,255.119794
72,No,7.980015371,134.950905
73,Yes,9.190009376,255.137219
74,Yes,2.378630018,214.966286
75,Yes,5.43464555,270.160419
76,Yes,1.092361222,200.165175
77,No,20.13981517,149.937833
78,Yes,24.64873861,240.114868
79,No,9.677739656,127.495766
80,Yes,9.82814183,187.609354
81,No,7.832238337,169.992756
82,No,19.45250317,192.456745
83,No,14.34766616,120.004928
84,No,2.257358355,195.006206
85,No,2.358129018,139.95684
86,No,4.650578623,114.983787
87,Yes,3.721772616,207.638588
88,Yes,3.76663012,187.609354
89,No,4.151256695,134.950905
90,Yes,2.188918771,192.470522
91,Yes,13.85488928,222.628057
92,No,3.273341151,162.468917
93,Yes,19.75096265,159.979358
94,No,18.38404445,184.979684
95,Yes,4.672610857,245.145743
96,No,6.796299371,124.97808
97,Yes,12.97632235,187.484705
98,No,20.31163945,162.500692
99,No,6.998814446,182.467607
100,Yes,14.46288204,222.660939
101,No,11.13472066,182.467607
102,Yes,2.542296644,220.161527
103,No,17.22596021,169.937833
104,Yes,22.79214163,204.963371
105,Yes,3.823689744,204.963371
106,Yes,10.77094687,245.128318
107,Yes,13.08671185,172.473314
108,Yes,14.76468813,172.456745
109,Yes,9.473091121,194.976769
110,No,5.197446331,137.439154
111,Yes,6.577552683,192.470522
112,Yes,3.174571918,159.951231
113,No,17.88002366,112.455141
114,Yes,13.12190056,174.961766
115,No,23.34617699,162.452604
116,No,6.311709178,137.483594
117,No,12.58298231,275.133571
118,Yes,7.120096363,127.442069
119,Yes,9.344886869,210.138
120,No,22.37815032,147.456419
121,Yes,4.799514433,242.657291
122,No,10.04672315,114.983787
123,No,8.156552837,187.656013
124,No,7.992791229,149.991327
125,No,7.231032028,124.960655
126,Yes,4.627672042,220.161527
127,No,10.05306287,172.48852
128,No,4.171044392,120.004928
129,Yes,4.568682641,220.161527
130,Yes,6.085030507,139.965008
131,No,2.730250735,159.951231
132,Yes,8.574901206,184.949594
133,Yes,9.743201772,252.637807
134,No,9.482919033,112.455141
135,No,8.447988841,179.979358
136,No,6.365998533,202.443347
137,No,7.251397592,197.472533
138,Yes,14.64011644,255.155493
139,Yes,11.71637124,174.976769
140,No,4.13273503,169.992756
141,Yes,2.887429547,192.440432
142,No,3.303030246,182.460772
143,No,5.15825129,139.965008
144,Yes,3.237560234,137.461553
145,Yes,2.733109234,217.472533
146,Yes,3.180102025,210.138
147,No,15.85983755,104.964303
148,Yes,11.73724209,262.610632
149,Yes,7.006240694,152.488401
150,Yes,5.562130367,174.974431
151,No,14.53027663,220.118516
152,No,5.905906389,162.452604
153,Yes,3.260462654,184.961033
154,No,18.91276578,217.483972
155,No,14.25617986,220.118516
156,Yes,7.983887266,187.642236
157,No,5.969967132,174.961766
158,Yes,19.95277818,252.637807
159,No,14.85781115,130.024412
160,Yes,2.600063739,162.482694
161,Yes,11.92299244,182.467607
162,No,5.972864167,139.934918
163,Yes,10.87555535,200.165175
164,Yes,16.00330155,202.682861
165,No,12.63074989,159.951231
166,No,8.4944392,149.948316
167,Yes,8.044444101,149.959755
168,No,12.07358377,137.469817
169,Yes,10.21634248,187.656013
170,Yes,15.50354683,164.985293
171,Yes,13.88004531,159.965008
172,No,19.48900163,172.462354
173,Yes,10.01771765,204.949594
174,No,7.34059599,147.473844
175,Yes,12.64742067,162.471255
176,No,8.850426839,119.95684
177,Yes,3.701557118,207.609354
178,No,2.976033785,194.999168
179,No,5.522376826,174.975543
180,Yes,15.64596698,240.114868
181,Yes,23.00764441,240.114868
182,No,17.24924155,139.983006
183,Yes,13.01107597,240.114868
184,Yes,5.104082209,209.993134
185,No,3.521499924,147.456419
186,No,8.08137067,107.495766
187,Yes,1.875430489,152.502178
188,No,5.587484456,79.978861
189,No,7.007695148,142.482694
190,No,1.408375942,117.439154
191,Yes,11.64983735,220.132293
192,Yes,2.964559883,152.455519
193,No,10.25635754,174.961766
194,Yes,3.892407013,202.443347
195,Yes,3.226996711,210.12704
196,No,15.87685513,139.979239
197,No,5.874064017,139.965008
198,No,3.756359276,137.439154
199,No,2.905283283,102.474625
200,Yes,1.474810061,252.637807
201,Yes,18.56165869,194.999168
202,Yes,12.39088509,242.610632
203,No,14.17192333,127.458638
204,No,3.86023041,129.976324
205,Yes,17.72593456,240.114868
206,No,3.043063167,174.975543
207,No,5.827112819,169.944668
208,Yes,4.648958177,162.511928
209,No,11.96274778,119.95684
210,No,4.525864256,137.439154
211,No,8.038308899,207.46728
212,No,1.416592892,149.974105
213,No,19.83504645,225.178625
214,Yes,15.85002222,232.637807
215,No,15.94935291,117.472036
216,No,11.94550648,137.469817
217,No,16.03360405,220.132293
218,No,21.29342532,124.960655
219,No,4.95598008,199.990219
220,Yes,2.73951266,159.947583
221,Yes,4.973046104,245.145743
222,Yes,10.28430068,255.155493
223,No,2.581692044,134.950905
224,Yes,6.945736396,159.947583
225,No,9.999416271,139.987503
226,Yes,6.035737465,179.947583
227,No,9.004964377,127.473844
228,Yes,5.071456681,232.637807
229,Yes,12.02106494,195.006206
230,Yes,5.049303717,267.642733
231,No,18.17247008,149.959755
232,Yes,15.31997698,220.114868
233,No,16.0708543,157.483594
234,No,7.873371451,127.474951
235,No,23.62866494,139.981577
236,Yes,25.8634566,255.133571
237,Yes,9.405224809,194.966286
238,No,12.84490034,179.965581
239,Yes,16.59325254,174.976769
240,No,20.35456039,187.609354
241,No,12.00925702,169.937833
242,No,2.861423443,115.002061
243,Yes,14.20349453,152.462354
244,Yes,4.98152586,207.609354
245,No,23.12150846,147.503078
246,No,6.307178205,200.118516
247,No,12.73622643,137.497825
248,No,12.00466914,134.980139
249,No,2.243757398,147.442069
250,No,1.583394702,197.494455
251,No,14.23487852,162.529926
252,Yes,15.28108311,210.151777
253,Yes,4.135827839,159.965581
254,Yes,9.740709475,190.173699
255,Yes,1.213704886,202.649979
256,No,11.86252419,134.950905
257,No,2.416685985,142.500692
258,No,6.73327535,114.997564
259,Yes,6.549035393,232.62403
260,Yes,10.57197066,242.628057
261,Yes,3.379756569,202.443347
262,No,8.959047529,124.993537
263,No,10.23679934,174.976769
264,Yes,14.96503088,225.145743
265,Yes,23.79323993,275.133571
266,Yes,11.45675389,287.642733
267,Yes,11.04076215,177.65076
268,Yes,7.425503428,220.114868
269,Yes,2.411712843,197.516854
270,No,2.009542213,194.974431
271,Yes,9.068119482,175.133074
272,Yes,1.926789854,147.478341
273,No,11.77389421,134.980139
274,No,2.585228303,157.483594
275,No,9.517703088,255.141716
276,No,9.532523799,137.439154
277,No,23.103996,235.159141
278,Yes,5.104873611,147.460067
279,Yes,6.877942744,232.637807
280,Yes,21.17839683,137.439154
281,No,1.586331702,129.948316
282,Yes,3.778174405,242.632554
283,Yes,11.58276897,187.609354
284,Yes,11.62258922,232.652038
285,No,20.78013031,159.980465
286,Yes,3.940297464,159.947583
287,No,11.38099891,137.487242
288,Yes,1.473304337,245.131966
289,No,12.75609778,117.439154
290,Yes,6.253919786,209.993134
291,No,18.9537053,169.974105
292,No,9.640061615,197.470195
293,Yes,5.201330266,137.516476
294,Yes,12.42120946,207.475448
295,No,8.134438503,160.00128
296,No,14.86764776,147.478341
297,No,5.548652108,127.488728
298,No,18.35541838,139.981577
299,Yes,7.62779591,220.132293
300,No,4.439685675,214.952509
301,No,11.16903388,139.99789
302,Yes,14.14101821,270.160419
303,Yes,3.212400569,202.443347
304,No,16.84928353,172.47417
305,Yes,3.834727471,137.468388
306,No,6.198230305,104.962874
307,No,4.216732972,174.969934
308,No,4.355064781,139.99789
309,No,4.030250374,144.988941
310,No,9.915959247,114.997564
311,Yes,9.821728297,172.484753
312,No,9.183905417,124.97808
313,No,8.892893007,174.991856
314,No,7.661226872,92.488023
315,No,12.4767812,139.965008
316,Yes,2.462148717,192.470522
317,Yes,14.09942339,220.118516
318,Yes,7.272649386,232.622804
319,No,3.999030359,210.156274
320,No,3.115945151,114.972827
321,No,13.67931764,149.977753
322,Yes,14.6728104,184.985293
323,No,5.953547112,132.479779
324,Yes,11.74635394,190.12704
325,No,5.954024226,92.488023
326,Yes,22.8577804,220.114868
327,Yes,1.407866545,107.495766
328,No,21.08265979,169.967067
329,Yes,11.10356439,222.679213
330,Yes,9.734064703,200.132293
331,Yes,12.21754865,262.610632
332,Yes,2.423722078,152.495236
333,No,13.66061487,202.636202
334,No,8.701581043,127.478341
335,No,4.844060027,159.983006
336,Yes,6.485034974,124.960655
337,Yes,1.14113241,252.62403
338,No,7.69213424,104.97808
339,Yes,13.73012915,204.961033
340,Yes,5.690013293,245.145743
341,No,6.68894661,95.019486
342,No,9.475983046,169.937833
343,Yes,4.893221514,207.475448
344,No,2.656915117,114.983787
345,Yes,8.381515693,232.637807
346,No,14.53315436,225.131966
347,Yes,13.62832619,212.641455
348,Yes,1.281566108,152.495236
349,Yes,3.365552603,134.950905
350,Yes,5.397827503,200.132293
351,No,9.001231999,197.470195
352,No,10.9750814,192.456745
353,Yes,7.825845378,162.471255
354,Yes,14.12966281,222.660939
355,No,14.66914461,114.950905
356,Yes,5.388165017,182.446995
357,No,2.810825808,95.005709
358,Yes,2.485229169,172.456745
359,No,2.051069457,177.65076
360,No,6.10108047,207.638588
361,Yes,4.950398978,220.118516
362,No,10.16660427,137.468388
363,Yes,12.29558653,159.965008
364,No,24.8868126,182.465269
365,No,9.660361769,129.977753
366,Yes,7.663625954,112.484375
367,No,5.25445262,127.488728
368,No,13.59137366,162.471255
369,Yes,12.3492819,154.961766
370,No,18.37317391,194.976769
371,No,8.498042024,192.48852
372,No,22.33583015,162.452604
373,No,1.541545443,107.48056
374,Yes,12.78453216,142.482694
375,Yes,2.527681829,165.018175
376,No,7.065506244,125.007314
377,Yes,4.258552081,139.987503
378,No,4.801969514,112.455141
379,Yes,5.204853319,212.622804
380,No,32.0730133,182.460772
381,Yes,11.16847385,159.947583
382,No,16.8000196,245.145743
383,No,17.6210362,149.977753
384,Yes,17.18829795,184.967019
385,No,17.52138221,92.455141
386,No,10.4103675,149.944668
387,Yes,3.310281145,167.456419
388,Yes,2.993625911,197.516854
389,Yes,16.26037537,152.488401
390,Yes,3.045064701,162.482694
391,Yes,15.35762157,262.610632
392,Yes,5.940902789,190.173699
393,Yes,5.988505209,187.513939
394,Yes,7.138784756,212.641455
395,No,8.951793883,104.964303
396,Yes,4.221959275,232.637807
397,No,9.797427154,142.499263
398,Yes,10.90397471,277.63748
399,No,1.665591776,112.455141
400,Yes,8.611218573,220.118516
401,Yes,1.28507969,139.951231
402,No,1.379696124,184.978458
403,Yes,3.084376591,210.138
404,No,2.43754565,142.468917
405,No,3.288124191,160.00128
406,No,32.30772134,127.481989
407,No,13.46565415,162.452604
408,No,19.244458,172.457857
409,No,8.69085131,255.155493
410,Yes,3.778575882,184.979684
411,Yes,10.27819073,175.006206
412,No,4.156887945,112.455141
413,No,11.32083915,194.958118
414,No,5.254442453,172.44408
415,No,5.2551003,200.165175
416,No,6.417132666,127.460067
417,No,18.61278731,147.478341
418,No,4.924623699,207.49737
419,No,6.325942162,169.937833
420,No,17.22220989,152.457857
421,No,3.238699239,162.460772
422,Yes,6.437878909,200.132293
423,Yes,15.22323989,182.460772
424,No,7.484425045,124.97808
425,Yes,7.218752772,230.105118
426,No,11.69875604,147.473844
427,No,10.03363969,142.482694
428,No,18.46162568,152.479779
429,No,16.52138638,105.010962
430,No,13.83290937,114.965789
431,Yes,5.02568958,184.978458
432,No,2.644787483,134.950905
433,Yes,2.522962069,182.490006
434,Yes,3.508974199,192.470522
435,Yes,11.50651216,149.962093
436,No,10.96319721,95.019486
437,Yes,5.505247606,245.174977
438,No,14.16961729,169.944668
439,No,10.27782059,207.49737
440,Yes,3.364993591,245.145743
441,No,9.307770559,127.478341
442,Yes,1.171557288,182.467607
443,Yes,7.262579715,267.642733
444,No,17.06899012,104.992311
445,Yes,10.8600084,164.978458
446,Yes,16.48065356,240.114868
447,No,10.85041661,124.960655
448,Yes,4.85576672,127.442069
449,No,1.715329149,169.992756
450,No,21.71097206,169.992756
451,No,3.470685398,179.979358
452,No,1.914386255,134.950905
453,No,9.16272705,192.440432
454,No,7.457173484,172.440432
455,Yes,4.991605214,212.669463
456,Yes,10.5903229,175.133074
457,No,14.68216127,159.965008
458,No,5.440398012,112.484375
459,No,11.92300936,179.965581
460,Yes,9.461939857,252.62403
461,No,13.90000955,95.005709
462,Yes,13.99579075,240.114868
463,No,13.44056701,105.010962
464,No,3.179043613,182.45383
465,Yes,14.58066686,149.944668
466,No,17.24908083,144.960655
467,Yes,2.760467902,187.609354
468,No,20.04140358,129.962093
469,No,8.001673351,129.976324
470,Yes,1.092219692,192.440432
471,Yes,14.68600159,172.44408
472,No,4.135515169,117.485813
473,No,9.086633107,159.965008
474,Yes,9.493585403,167.484705
475,Yes,5.372758028,129.962093
476,No,13.82188875,139.981577
477,No,2.598489694,124.97808
478,Yes,12.9401487,255.137219
479,No,4.957713222,230.105118
480,No,28.79864005,182.460772
481,Yes,7.176411327,255.155493
482,No,5.709925704,172.457857
483,No,3.956375328,137.483594
484,Yes,1.033067819,167.456419
485,No,2.206152519,127.495766
486,Yes,3.820262172,287.642733
487,Yes,2.640977982,167.456419
488,No,5.622660986,164.988941
489,Yes,1.634394387,242.632554
490,Yes,2.012075635,130.006414
491,Yes,10.06913982,257.63748
492,No,6.935335786,129.977753
493,No,15.56741347,232.622804
494,No,12.75071284,182.467607
495,Yes,8.573785357,220.132293
496,Yes,13.86188691,252.637807
497,Yes,10.77929667,142.452604
498,No,16.88097916,94.972827
499,Yes,16.92163398,210.105118
500,No,11.91663193,92.455141
501,Yes,2.81822785,194.969934
502,No,5.100566529,129.977753
503,Yes,4.806882153,242.628057
504,Yes,5.658327457,197.48762
505,Yes,2.649525158,242.610632
506,No,18.76976086,139.934918
507,No,13.04542381,112.455141
508,Yes,1.534192133,182.490006
509,No,9.039309605,149.988989
510,No,10.15330548,107.495766
511,No,8.792119046,92.455141
512,Yes,1.542556879,225.145743
513,Yes,13.65776694,232.62403
514,Yes,5.165404738,207.638588
515,Yes,13.17859958,175.133074
516,Yes,1.557206083,242.628057
517,No,7.226076469,184.964681
518,No,20.91720893,182.443347
519,Yes,7.228526307,117.485813
520,No,20.43854626,139.99789
521,Yes,2.915827364,149.937833
522,No,9.709171662,157.469817
523,No,1.939549257,152.510442
524,Yes,1.502124145,139.99789
525,Yes,1.906368477,139.951231
526,Yes,15.60605339,117.439154
527,Yes,2.084396413,235.137219
528,No,1.781895205,149.977753
529,Yes,2.050742411,149.991327
530,No,2.447649309,149.97755
531,No,10.81997919,172.456745
532,Yes,8.650238791,137.439154
533,No,8.878536605,197.494455
534,No,2.359067126,204.961033
535,No,6.811759674,162.482694
536,Yes,5.207179461,159.964152
537,No,9.450195459,169.974105
538,No,10.6312597,129.959755
539,No,3.564836875,119.989722
540,No,1.815836226,179.947583
541,No,8.932053699,167.456419
542,Yes,7.349620762,240.114868
543,Yes,14.71424943,194.976769
544,Yes,7.073151031,245.146969
545,No,1.597765127,139.987503
546,Yes,8.054118994,197.483972
547,No,14.96135055,190.173699
548,Yes,22.76986341,197.470195
549,Yes,2.519975147,149.974105
550,Yes,5.915247686,204.979684
551,No,7.793733508,152.502178
552,Yes,20.44846104,225.131966
553,Yes,10.40161068,202.636202
554,No,11.40192641,127.460067
555,No,7.604093453,162.482694
556,No,12.85397739,104.962874
557,Yes,1.410971237,169.937833
558,Yes,8.874920206,159.934918
559,No,6.013261132,217.470195
560,Yes,9.306233406,245.146969
561,Yes,4.902104964,177.48762
562,Yes,1.894776657,162.465269
563,No,5.204111135,147.456419
564,No,1.375013189,134.950905
565,No,1.387575524,127.442069
566,No,2.685677496,184.978458
567,No,5.511437756,137.468388
568,Yes,16.58244758,182.443347
569,Yes,14.17620441,172.487091
570,No,10.81527088,162.500692
571,No,20.01892414,137.439154
572,Yes,6.956508263,220.114868
573,Yes,8.274610767,159.994242
574,Yes,6.786723844,159.964152
575,Yes,3.605888824,275.133571
576,No,10.19243185,194.958118
577,No,3.998433243,124.97808
578,No,4.964368923,92.455141
579,No,5.884557067,229.993134
580,No,1.084656113,147.478341
581,Yes,7.21126107,179.947583
582,No,2.140387928,175.006206
583,No,7.931439645,204.963371
584,No,14.08939653,210.12704
585,No,9.232644617,184.967019
586,Yes,6.951491551,200.118516
587,No,3.137169138,114.965789
588,Yes,11.85998919,134.980139
589,No,3.113737885,92.488023
590,No,4.985175451,137.483594
591,Yes,11.41238102,137.483594
592,Yes,15.37990405,207.638588
593,No,3.775528995,114.972827
594,Yes,5.30268427,207.609354
595,Yes,2.843930975,134.950905
596,Yes,13.70230727,240.114868
597,No,4.768869377,149.959755
598,No,14.57312339,134.950905
599,No,17.28022598,204.963371
600,No,16.1217624,149.977753
601,Yes,2.437089876,139.934918
602,No,5.822867455,197.628838
603,No,16.18199957,152.479779
604,No,14.46037646,139.95684
605,Yes,1.504124801,229.993134
606,No,7.737353244,142.471255
607,Yes,4.109952242,159.947583
608,Yes,2.566196093,240.114868
609,Yes,4.440328327,172.440432
610,Yes,12.3848312,169.967067
611,Yes,6.396338897,149.962093
612,No,10.03212915,134.950905
613,No,2.62036784,159.965008
614,Yes,3.795086086,232.637807
615,No,3.149071183,149.962093
616,Yes,3.484000437,184.963371
617,Yes,5.770302149,182.490006
618,No,2.981008475,159.951231
619,No,9.14991493,147.442069
620,Yes,11.38939562,242.632554
621,Yes,1.445148407,162.500489
622,No,6.143856241,172.457857
623,No,5.981775914,140.00128
624,Yes,2.08299524,144.988941
625,Yes,7.110141173,150.020764
626,Yes,3.041138012,275.133571
627,No,15.37394197,130.006414
628,No,3.905351198,197.48762
629,No,3.838043219,149.984492
630,Yes,5.141923371,184.978458
631,Yes,19.17821675,207.609354
632,No,12.36979696,139.99789
633,No,14.28414317,220.132293
634,Yes,3.769989038,242.632554
