,Tenure,MonthlyCharge,zMonthlyCharge,zTenure,Churn
4847,9.525184,92.48802,-1.8661160280442153,-0.9454655249087431,False
9992,56.47233,137.4392,-0.8193544722181149,0.8299394899401551,False
4621,2.611838,124.9643,-1.1098528692073604,-1.2069082366293995,False
5774,58.78687,139.983,-0.7601179394794761,0.9174686854969706,False
9294,64.11559,255.1198,1.921030272888666,1.118985433942672,False
1085,17.48396291,202.443347,0.6943731329052333,-0.6444875700637852,False
1073,16.64037206,142.468917,-0.7022293068212333,-0.6763897313915609,True
950,2.253077812,150.006987,-0.5266930499059297,-1.2204755072980644,False
9512,68.20701,169.9378,-0.06257155577031247,1.2737110819267492,False
3773,4.745801,194.9663,0.5202578960926539,-1.1262079399233549,True
6474,60.6238,127.4738,-1.05141506792282,0.9869360549069532,False
6976,48.29423,194.9525,0.5199365405805094,0.5206674470360821,False
5715,54.78051,132.466,-0.9351635470729764,0.7659597602198082,False
9164,69.62503,104.9629,-1.5756180967875963,1.3273364890847483,False
4971,14.74826,232.624,1.397178872156743,-0.7479439264001366,True
230,5.049303717,267.642733,2.2126471966398564,-1.1147303466787715,True
9924,67.09737,220.1615,1.1069692293958013,1.2317477127226462,False
4655,8.512387,179.9476,0.1705229663647702,-0.98376657249157,True
1094,6.791270714,139.951231,-0.7608577324697167,-1.048854202851518,True
1729,6.027648047,154.991856,-0.4106122433502552,-1.0777321992358795,True
1556,11.32593703,172.487091,-0.0032071561391246385,-0.8773662636678926,False
9253,65.85662,172.4705,-0.003593504639268938,1.1848261432586844,False
8955,51.53504,182.4653,0.22915171802609244,0.6432254897799896,False
1443,7.840871292,182.476229,0.22940621761973154,-1.0091613506008295,True
5439,52.79234,129.9915,-0.992786316261498,0.690772932284152,False
1234,9.417609509,172.510442,-0.0026633900112918293,-0.9495336804211403,False
9744,57.1358,119.9568,-1.22646067551632,0.8550300026882954,False
9373,63.27923,162.497,-0.2358427220576234,1.0873567224078104,False
460,9.461939857,252.62403,1.8629121970520783,-0.9478572351235028,True
3118,11.00718,172.4579,-0.00388691619383548,-0.8894207308250728,True
6742,65.66392,172.4871,-0.0032069465594426728,1.177538787678829,False
3425,5.685414,270.1604,2.271275179842344,-1.0906744991425836,True
9303,60.36923,220.1323,1.1062892597614085,0.977308955218506,False
2319,6.137692,139.9792,-0.7602064286784728,-1.0735706558268296,False
2117,5.003409,197.6288,0.5822585519683622,-1.1164659518786462,True
881,5.295927221,152.47417,-0.4692406689987392,-1.1054037604411076,True
5002,61.5999,169.9671,-0.06188925747278876,1.0238493282930288,False
1475,10.404813,222.649979,1.1649175224034731,-0.9122005051819524,True
8780,60.72007,192.4885,0.4625582810207935,0.9905767073287106,False
3945,25.43212,252.6378,1.8632328539652832,-0.3439113016705408,True
4813,29.58658,114.9509,-1.3430312232151764,-0.18680166356838326,False
5324,47.1075,162.4526,-0.23687664848800197,0.4757887574290158,False
2502,24.14282,162.4713,-0.23644118848241427,-0.39266889144276435,False
9477,61.54459,257.6375,1.9796590245499874,1.0217576643743895,False
7352,66.86351,162.5007,-0.23575656152175903,1.2229038052192476,False
725,9.820011726,159.947583,-0.29521005580435744,-0.9343159946847568,True
134,9.482919033,112.455141,-1.4011490428988198,-0.9470638634821724,False
6470,68.03515,187.4673,0.3456314478628205,1.2672118347552188,False
1,1.156680997,242.632554,1.6302443791492078,-1.261938057622537,True
6331,69.48178,172.4624,-0.0037821263529186216,1.3219191892050688,False
3750,16.05745,117.4392,-1.2850870985145104,-0.6984341544666091,True
2052,2.051657,242.6106,1.6297331444453225,-1.2280926587159535,True
291,18.9537053,169.974105,-0.06172613462042796,-0.5889061720009081,False
2788,6.487048,102.4746,-1.6335622214882628,-1.0603590242961813,False
3107,7.53282,149.9378,-0.5283041820667082,-1.0208109577707196,False
3473,5.318865,129.9621,-0.993470943222154,-1.1045363201101,False
843,5.130341596,212.641455,0.9318527140099478,-1.1116657289324805,True
8497,51.58987,194.9699,0.5203417279653875,0.6452990014896078,False
5643,67.93291,252.6378,1.8632328539652832,1.263345414233764,False
6151,44.75964,127.4601,-1.051734094771833,0.3869994960293315,False
2631,1.84687,137.4872,-0.8182367139150035,-1.2358371096092167,False
3579,13.33383,157.4698,-0.3529092750034859,-0.8014335701615004,False
3245,16.23853,147.4564,-0.5860876290113021,-0.6915862336134684,False
7463,55.19347,162.4827,-0.2361757208854258,0.7815767107141364,False
683,7.847288476,112.484375,-1.4004682815189624,-1.0089186712981342,False
9333,69.69574,129.9621,-0.993470943222154,1.3300105363761423,False
2562,18.81683,184.9647,0.28735432433435254,-0.5940823991996594,False
7939,64.91404,107.4958,-1.5166353883302894,1.1491804991359025,False
8845,53.60305,217.4702,1.0442979185382273,0.7214316351494583,False
5430,67.39149,197.6288,0.5822585519683622,1.2428704788002127,False
2878,6.6307,169.9447,-0.06241087801424017,-1.0549265219414465,False
868,8.791194482,127.458638,-1.0517681398268153,-0.9732228814710295,False
6053,48.02057,127.4421,-1.0521532541354999,0.5103184188680323,False
9977,66.25635,245.1283,1.688361896106644,1.1999427734918733,False
5658,60.76709,127.4738,-1.05141506792282,0.992354867470718,False
6967,56.19888,179.9476,0.1705229663647702,0.8195984033635519,False
6152,65.79896,199.9902,0.637247603155177,1.1826456091500464,False
6776,60.17878,192.4885,0.4625582810207935,0.9701066881184364,False
8838,51.67488,242.6573,1.6308206301277242,0.6485138333414165,True
5539,59.6877,125.0073,-1.1088515440608229,0.9515354656059538,False
7466,64.15093,137.4392,-0.8193544722181149,1.120321890331837,False
1382,4.891651665,130.024412,-0.9920199066516645,-1.1206922904297723,False
5235,71.52864,114.9728,-1.3425212459893818,1.3993255028645533,False
2179,4.632153,137.4392,-0.8193544722181149,-1.1305057779458738,False
5501,65.33592,139.9979,-0.7597709686728857,1.1651347781812027,False
7247,45.19194,172.4742,-0.003507344103403892,0.40334782927879437,False
8389,56.43572,79.97886,-2.1574122250223065,0.828555005831289,False
1796,14.42671843,235.137219,1.4557032764231428,-0.7601036967908733,True
4914,11.40635,144.9889,-0.6435473917806199,-0.8743252781690746,True
7106,70.8569,139.965,-0.760537098843143,1.3739222426818234,False
2362,1.5183,127.482,-1.0512241175460384,-1.248262674855055,False
1610,2.294386519,172.456745,-0.003913812253003699,-1.2189133317067151,False
4634,12.65954,187.6094,0.3489404781726564,-0.8269332639546537,True
9571,54.67286,159.9656,-0.29479050056795864,0.7618887491758465,False
3114,1.304537,159.9476,-0.2952096599316254,-1.2563465720570095,True
3965,11.5365,200.1323,0.6405566334650129,-0.8694033823272573,False
3929,7.778058,124.9643,-1.1098528692073604,-1.0115367672793207,False
4288,22.05456,175.0062,0.055454406385720044,-0.471640833130303,False
9756,50.49242,137.4392,-0.8193544722181149,0.603796622760432,False
