,Area,Children,Age,Income,Marital,Gender,Outage_sec_perweek,Email,Contacts,Yearly_equip_failure,Techie,Contract,Port_modem,Tablet,InternetService,Phone,Multiple,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,PaymentMethod,Tenure,MonthlyCharge,Bandwidth_GB_Year,Item1,Item2,Item3,Item4,Item5,Item6,Item7,Item8,Churn
4847,0,0,63,27506.01,1,1,10.45539,14,1,1,0,1,0,0,2,1,0,0,0,0,1,0,0,1,2,9.525184,92.48802,820.0423101,2,3,4,4,3,2,3,4,No
9992,1,1,18,35876.21,0,1,9.212993,15,2,0,1,2,0,1,1,1,0,0,0,0,0,1,0,1,2,56.47233,137.4392,5001.371216,3,2,4,3,4,3,4,3,No
4621,2,1,27,43148.68,1,0,10.52558,9,0,0,1,2,0,1,1,1,0,0,0,0,1,0,0,1,2,2.611838,124.9643,320.1072613,5,5,4,1,4,5,4,3,No
5774,2,4,41,35600.06,3,0,11.03469,17,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,3,58.78687,139.983,5562.051941,4,4,3,4,3,3,3,3,No
9294,0,4,20,146719.5,1,0,11.30121,16,0,0,1,0,0,0,0,1,1,0,1,0,1,1,1,0,1,64.11559,255.1198,6511.608523,5,5,4,3,4,4,4,2,No
1085,0,0,75,20840.13,4,0,8.825929291,8,0,1,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,17.48396291,202.443347,1671.835787,3,4,3,4,4,2,2,3,No
1073,1,1,64,81748.07,3,0,13.77280014,5,1,0,1,0,0,0,0,1,0,1,0,0,1,0,1,1,3,16.64037206,142.468917,1996.643218,3,3,2,2,3,2,4,4,Yes
950,2,1,25,113086.55,0,2,13.18785324,16,3,1,0,2,0,1,2,1,1,1,1,0,1,0,0,0,2,2.253077812,150.006987,534.5843758,4,4,4,3,3,3,3,4,No
9512,0,3,68,41508.2,2,1,7.763803,14,1,0,0,0,1,0,1,1,0,0,1,0,0,0,1,1,2,68.20701,169.9378,5953.612372,3,3,2,3,4,3,5,3,No
3773,1,1,76,29614.14,0,1,14.90844,6,0,0,0,1,1,1,0,1,1,0,1,1,0,0,1,1,3,4.745801,194.9663,1236.530575,3,4,4,3,4,4,3,3,Yes
6474,0,0,82,56960.58,1,0,14.57952,16,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,60.6238,127.4738,5450.67953,6,4,5,4,3,5,5,5,No
