MonthlyCharge,Tenure,Churn,Number
92.48802,9.525184,False,4847
137.4392,56.47233,False,9992
124.9643,2.611838,False,4621
139.983,58.78687,False,5774
255.1198,64.11559,False,9294
202.443347,17.48396291,False,1085
142.468917,16.64037206,True,1073
150.006987,2.253077812,False,950
169.9378,68.20701,False,9512
194.9663,4.745801,True,3773
127.4738,60.6238,False,6474
194.9525,48.29423,False,6976
132.466,54.78051,False,5715
104.9629,69.62503,False,9164
232.624,14.74826,True,4971
267.642733,5.049303717,True,230
220.1615,67.09737,False,9924
179.9476,8.512387,True,4655
139.951231,6.791270714,True,1094
154.991856,6.027648047,True,1729
172.487091,11.32593703,False,1556
172.4705,65.85662,False,9253
182.4653,51.53504,False,8955
182.476229,7.840871292,True,1443
129.9915,52.79234,False,5439
172.510442,9.417609509,False,1234
119.9568,57.1358,False,9744
162.497,63.27923,False,9373
252.62403,9.461939857,True,460
172.4579,11.00718,True,3118
172.4871,65.66392,False,6742
270.1604,5.685414,True,3425
220.1323,60.36923,False,9303
139.9792,6.137692,False,2319
197.6288,5.003409,True,2117
152.47417,5.295927221,True,881
169.9671,61.5999,False,5002
222.649979,10.404813,True,1475
192.4885,60.72007,False,8780
252.6378,25.43212,True,3945
114.9509,29.58658,False,4813
162.4526,47.1075,False,5324
162.4713,24.14282,False,2502
257.6375,61.54459,False,9477
162.5007,66.86351,False,7352
159.947583,9.820011726,True,725
112.455141,9.482919033,False,134
187.4673,68.03515,False,6470
242.632554,1.156680997,True,1
172.4624,69.48178,False,6331
117.4392,16.05745,True,3750
242.6106,2.051657,True,2052
169.974105,18.9537053,False,291
102.4746,6.487048,False,2788
149.9378,7.53282,False,3107
129.9621,5.318865,False,3473
212.641455,5.130341596,True,843
194.9699,51.58987,False,8497
252.6378,67.93291,False,5643
127.4601,44.75964,False,6151
137.4872,1.84687,False,2631
157.4698,13.33383,False,3579
147.4564,16.23853,False,3245
162.4827,55.19347,False,7463
112.484375,7.847288476,False,683
129.9621,69.69574,False,9333
184.9647,18.81683,False,2562
107.4958,64.91404,False,7939
217.4702,53.60305,False,8845
197.6288,67.39149,False,5430
169.9447,6.6307,False,2878
127.458638,8.791194482,False,868
127.4421,48.02057,False,6053
245.1283,66.25635,False,9977
127.4738,60.76709,False,5658
179.9476,56.19888,False,6967
199.9902,65.79896,False,6152
192.4885,60.17878,False,6776
242.6573,51.67488,True,8838
125.0073,59.6877,False,5539
137.4392,64.15093,False,7466
130.024412,4.891651665,False,1382
114.9728,71.52864,False,5235
137.4392,4.632153,False,2179
139.9979,65.33592,False,5501
172.4742,45.19194,False,7247
79.97886,56.43572,False,8389
235.137219,14.42671843,True,1796
144.9889,11.40635,True,4914
139.965,70.8569,False,7106
127.482,1.5183,False,2362
172.456745,2.294386519,False,1610
187.6094,12.65954,True,4634
159.9656,54.67286,False,9571
159.9476,1.304537,True,3114
200.1323,11.5365,False,3965
124.9643,7.778058,False,3929
175.0062,22.05456,False,4288
137.4392,50.49242,False,9756
129.9915,71.93174,False,5638
220.1185,9.104003,True,3976
194.9663,19.70995,False,4018
117.4858,66.8244,False,6688
129.9763,64.61898,False,8999
222.6143,67.25434,True,9901
162.4937,10.02603,True,2596
124.9607,49.94733,False,9802
172.4733,2.804449,True,4567
127.460067,6.417132666,False,416
182.4608,22.25056,True,3286
230.1344,51.83423,False,7379
194.9525,2.446064,True,2473
197.6288,36.26479,False,6469
129.962093,20.13119126,True,1482
287.6427,3.430472,True,3975
212.6415,64.9788,False,5034
184.9785,62.59584,False,8525
230.1344,63.88775,False,7347
139.981577,1.392421597,True,27
162.5299,67.65646,False,5794
159.965008,12.29558653,True,363
182.4833,8.031947,True,4733
207.609354,3.701557118,True,177
157.4836,22.38582,False,2932
162.5007,44.69494,False,5412
152.4624,63.38899,False,5379
162.4653,59.2505,False,5578
184.978458,5.02568958,True,431
227.4754,15.1631,True,4855
202.65,64.67729,False,6703
157.4836,69.35043,False,9000
112.4844,65.9999,False,8044
114.9838,65.24071,False,5401
114.9509,60.92178,False,5877
195.006206,14.08292576,False,752
262.6106,55.20546,True,6235
124.9607,13.70911,False,4175
270.1604,50.65407,True,7529
169.9671,59.14986,False,8400
114.9728,54.02641,False,9870
120.0035,71.50744,False,6802
162.447,59.48183,False,8374
159.9476,17.98438,True,2192
114.9509,2.921217,False,3517
79.97886,10.14235,False,4624
255.1665,59.05164,True,5195
247.664655,2.095488213,True,1788
245.1283,69.08879,False,9768
232.641455,8.713385365,True,1055
92.5018,68.00844,False,5676
162.460772,3.238699239,False,421
112.4844,66.74044,False,8441
124.9607,20.91805,True,4643
220.114868,7.425503428,True,268
92.455141,4.157658837,True,25
207.6094,64.29382,False,7309
182.4676,63.39683,False,8886
169.9378,20.14176,False,2360
182.4653,21.73641,False,3018
174.9699,40.87895,False,6543
182.4538,56.36817,False,8169
124.960655,6.485034974,True,336
129.995,48.07729,False,9690
174.975543,3.043063167,False,206
154.9618,67.57419,False,6049
177.6508,15.73713,False,4493
210.127,66.16108,False,8322
172.4848,62.8196,False,6219
192.4567,4.075856,True,3427
174.9919,66.49135,False,7345
129.9778,40.43984,False,9813
137.4872,3.636783,False,3641
204.9634,63.60495,False,8180
287.6427,5.962119,True,3746
139.934918,5.972864167,False,162
