MonthlyCharge,Tenure,Churn,Number
114.9838,56.63276,False,5952
117.483475,2.851017432,False,1783
230.1051,5.664023,True,4811
217.472533,2.733109234,True,145
200.1323,56.27454,True,7146
139.9349,4.336113,True,2452
182.447,4.839337,False,4051
255.1555,3.260154,True,4311
137.4684,71.25391,False,9715
202.443347,3.212400569,True,303
117.4686,50.58329,False,5369
155.0084,68.82603,False,9765
112.455141,12.91213895,False,916
242.6281,56.24277,False,6601
172.4848,69.05548,False,5206
172.5104,54.07581,False,8725
149.97755,2.447649309,False,530
212.6557,62.23915,False,9064
139.9678,16.91776871,False,1301
144.960655,1.662826246,False,1733
147.4783,50.54849,False,7896
107.4806,9.561875,False,2961
137.4392,3.680185,True,2535
149.9621,58.50824,False,7824
240.114868,17.0219219,False,1529
112.4551,3.631024,False,2842
124.97808,28.93788212,False,694
194.9525,71.32292,False,7395
184.9797,41.71275,True,7092
174.9919,65.58524,False,7006
127.4421,3.664542,True,2424
139.95684,2.965166415,False,1552
114.9838,62.65335,False,5586
197.6288,2.586551,True,4182
117.4835,53.82378,False,5420
160.0122,55.97115,False,7534
114.983787,2.722761372,False,1574
230.105118,4.727388465,True,32
190.127,69.59294,False,8030
104.9629,3.063806,False,4671
194.9744,55.44991,False,8222
172.4567,7.431055,True,3601
79.978861,5.837241927,False,1058
217.4725,56.00686,False,9255
92.455141,18.05033087,False,1050
147.442069,2.160066882,False,1706
144.9889,54.53026,False,5313
232.6228,65.44679,False,6368
144.9607,70.52617,False,9807
159.9942,62.09703,False,9355
144.9607,7.634806,False,4593
120.0035,71.30636,False,6491
204.9496,62.83882,False,6932
139.934918,17.12047934,False,1398
147.4601,56.19179,False,8166
149.944668,12.80615845,True,19
162.4526,55.49816,False,9991
162.4676,65.11394,False,8555
172.4624,66.3883,False,6775
197.6288,1.625652,True,3242
129.995,61.49459,False,7765
217.4725,60.99965,False,8812
149.9598,51.58472,False,5616
137.469817,11.94550648,False,216
104.962874,12.85397739,False,556
147.4601,4.888977,False,2693
149.9707,39.54414,False,5958
162.4653,71.57518,False,6685
137.4392,52.58164,False,9693
149.937833,20.13981517,False,77
255.1417,13.04025,True,3911
152.4742,15.97096,True,2845
157.4836,54.22191,False,6608
172.4733,50.53589,False,8092
129.9621,40.93141,False,9883
177.6508,44.97976,False,6609
184.9853,70.60744,False,6815
149.9447,4.087832,False,3715
257.6513,66.78494,True,7024
159.9349,13.21297,False,4645
119.9568,1.203982,False,4204
137.4686,57.60401,False,8813
144.9607,64.11518,False,6940
92.455141,16.64092048,False,1764
134.950905,3.365552603,True,349
182.4676,7.277274,False,4882
149.9447,50.45458,False,6534
162.5005,57.64074,False,9277
92.45514,60.30933,False,9597
144.9607,68.03889,False,8197
134.980139,12.00466914,False,248
257.6513,10.71719,True,3228
127.4958,67.9048,False,9874
142.4526,62.76892,False,7636
175.0048,9.910534,True,3169
117.4392,54.17218,False,9677
159.9476,1.482474,True,2353
139.9678,9.320973584,True,1692
174.9618,58.172,False,7666
164.9889,1.200106,True,2644
202.4433,2.65459,True,2302
230.1051,30.1778,True,2095
252.6378,58.51393,True,6845
222.6281,2.420905,True,2442
114.9509,70.70015,False,5696
207.609354,20.83084927,True,1280
164.971516,7.753271168,False,1710
159.965,45.4868,False,5026
159.983,10.91353,False,2943
210.105118,3.189179387,True,777
92.5018,9.063713,False,2595
150.020764,7.110141173,True,625
235.1372,2.077466,True,2446
147.503078,23.12150846,False,245
129.9915,60.5779,False,5615
142.4689,62.38889,False,5995
127.495766,2.206152519,False,485
139.9512,48.14443,False,8702
114.9976,8.931572,False,3922
152.47417,2.256763731,True,1433
182.4653,65.54203,False,9806
137.4686,39.1518,False,6960
212.6415,3.606976,True,4277
194.9768,38.05187,False,5864
152.466,5.18336,True,3236
179.9794,11.00328,False,3908
162.4827,11.64744,False,2587
152.4798,4.892174,False,4181
200.1185,61.72696,False,6115
139.9512,4.527649,False,3232
152.4579,71.01166,False,6139
149.9447,58.7019,False,5336
187.6094,71.71958,False,9957
137.4684,15.64015,False,3047
242.6106,62.281,False,7438
149.9483,10.00078,False,3330
207.6094,1.481306,True,3739
139.965,71.86603,False,9169
172.4404,63.05421,False,5714
174.9744,44.79742,False,7237
182.4608,21.25517,False,2902
275.1336,13.48223,True,4052
149.9447,62.71297,False,7972
192.4404,71.55357,False,5671
152.4798,65.55327,False,6866
104.9629,54.62225,False,5955
152.4555,48.82198,False,6244
172.5104,63.56661,False,9737
240.114868,2.566196093,True,608
182.4538,43.19701,False,9694
79.97886,55.78075,False,7953
127.4783,56.04565,False,6551
129.9621,6.446693,True,3086
137.439154,6.471903209,False,890
159.9476,63.27825,False,6612
147.4564,1.717806,False,2923
230.1051,1.530293,True,4826
169.9928,59.15954,False,7387
134.9801,67.97118,False,7476
194.9882,39.35678,False,8673
79.97886,65.62921,False,6434
190.1737,71.31402,False,7143
220.1323,66.50887,False,6044
117.4686,6.974284,False,4630
124.9643,56.15392,False,8754
169.9928,11.88029,False,4091
195.0062,6.840972,False,2211
140.0013,55.84748,False,9134
245.128318,4.753020774,True,1612
217.483972,7.154371452,True,1481
190.1737,64.46737,False,6418
232.637807,12.52485764,True,1922
92.45514,71.11315,False,5913
127.475,14.61254,False,4236
187.6094,62.70376,False,7638
159.947583,9.539962975,True,745
174.9699,10.1408,True,4234
127.4421,66.13511,False,5182
147.478341,1.926789854,True,272
210.1051,43.34462,False,7040
172.4705,68.95234,False,5277
104.992311,11.44810825,False,1580
117.4686,67.72471,False,7998
265.128318,17.05603447,True,1930
187.609354,4.676474348,True,638
149.9447,60.83121,False,5272
152.4441,62.71436,False,8468
197.484,2.558218,True,4075
172.457857,9.117084502,False,1527
187.6094,13.79595,True,4012
187.484705,7.771315315,True,1319
169.9378,9.274687,False,4296
159.983,69.1405,False,7014
114.9976,67.69557,False,9840
187.656013,7.748370205,True,647
222.6362,64.16746,False,6743
142.4993,65.66308,False,6756
129.959755,10.6312597,False,538
125.0073,49.85906,False,7628
130.0064,71.84774,False,5171
169.944668,9.85591776,True,675
242.6106,45.09367,True,7335
149.9598,2.021619,False,3591
129.9483,71.58072,False,5832
142.5156,67.71293,False,7977
207.4811,70.42914,False,8005
169.9447,2.437932,True,3063
230.1344,66.50713,False,8792
147.4893,4.273105,False,2941
245.1283,2.543632,True,3383
179.9656,67.75237,False,5252
174.9699,71.9056,False,5657
164.964681,2.871017037,False,60
162.4713,48.84202,False,6718
185.0077,68.52825,False,9982
184.963371,1.876407503,False,656
230.1051,43.50607,False,8646
245.1457,62.99453,True,8457
152.5022,67.13199,False,6977
139.95684,2.358129018,False,85
169.9378,55.42229,False,8372
220.1323,13.08183,True,3543
129.9915,69.83332,False,5910
179.9476,16.48485,True,2876
137.4392,5.664193,False,3155
179.9794,10.31129,True,3101
162.4818,10.24306,False,2997
167.4847,41.51958,False,5530
137.4836,2.984004,False,2880
124.9607,4.597088,False,3465
127.4601,55.36779,False,8004
162.4538,2.180679,True,2194
139.9349,65.36263,False,6613
182.4608,58.04214,False,6970
129.995,70.55657,False,9243
174.9768,60.03811,False,6067
154.975543,3.857300987,True,977
137.4684,64.67817,False,6412
142.515576,6.732948946,False,57
169.9928,67.94252,False,9703
140.0013,47.87116,False,7111
200.1323,5.494536,True,2398
207.4754,8.492902,True,2243
132.466,16.04377,True,2480
152.466,55.74968,False,6460
79.97886,53.17302,False,5422
270.1604,53.92384,False,5376
255.1417,66.83137,False,9391
139.99789,11.16903388,False,301
117.4858,41.93,False,7775
174.9755,59.28333,False,8278
162.482694,6.811759674,False,535
120.0049,7.369734,True,3933
210.1518,70.52836,False,6556
255.1665,6.71156,True,2666
132.5127,9.986555,False,3571
137.4392,62.16298,False,5490
147.4601,4.278123,False,3665
129.977753,3.861708438,False,933
265.147,15.73243,True,2352
159.9512,6.979961,True,4407
192.4404,21.42092,True,3856
139.95684,13.3771743,False,1005
107.4806,59.50718,False,5390
182.497,14.75827,True,3593
134.980139,11.58317216,False,904
179.9794,59.83107,False,9057
105.011,20.88324,False,4388
230.1051,60.04495,False,5925
182.4433,56.46995,False,6924
172.4624,18.13802,False,2284
222.6326,57.6618,False,5269
172.4441,6.150351,False,3036
179.9794,54.03362,False,6908
172.4733,45.03776,False,5301
179.9656,2.687062,False,2390
225.1457,11.36938,True,2393
167.4564,57.10624,False,7572
139.965,9.060452,False,4936
160.0013,15.19674,False,4935
149.9483,53.40027,False,5111
182.460772,17.37839741,True,842
220.1323,1.75453,True,2132
169.9741,41.88907,False,5000
210.138,1.515452465,True,976
147.489301,3.586184954,False,31
197.484,2.589118,True,4474
169.9378,1.115115,True,4030
184.9715,14.66847,True,4548
127.4421,59.60557,False,8489
117.472,71.3084,False,5645
235.1372,65.05265,False,8462
190.173699,11.76491612,True,992
200.1323,56.61608,False,5115
169.9447,1.668767,False,3390
210.127,4.235635,True,2400
252.6378,63.32675,False,6242
187.6422,65.21792,False,5646
127.4958,63.39679,False,7223
117.4392,60.87178,False,9841
124.964303,14.74280934,False,1822
127.4958,69.74808,False,7653
127.4586,65.77898,False,8798
182.4676,61.55321,False,6921
204.9496,3.872474,True,4773
139.9816,10.32943,False,2063
127.4586,46.77244,False,8017
104.9923,49.54115,False,7488
114.9728,4.771263,False,4954
129.9598,71.14976,False,7030
204.963371,19.28013343,False,1646
210.1051,9.873195,True,3141
220.161527,2.699998442,True,1722
179.979358,11.95255483,False,803
222.6143,65.26459,False,7862
117.4686,59.6738,False,6797
117.4858,45.48614,False,8662
182.4538,71.68832,False,8340
162.4608,63.30112,False,8153
82.496547,5.810822315,False,1627
124.9643,70.73353,False,5581
172.5034,70.40991,False,8607
235.1555,42.6954,True,5668
220.1149,65.19187,True,8285
129.9483,3.932102,True,3977
172.44408,7.603357235,False,764
255.1198,61.68428,True,7536
242.610632,12.39088509,True,202
142.499263,4.261408572,False,1645
149.97755,9.289517752,True,797
117.4872,14.80965,False,2306
159.9942,11.72692,False,4613
182.483267,7.59915732,False,1400
159.965,55.98127,False,7238
104.9629,71.83088,False,7263
154.961766,12.40889924,False,1214
190.1737,47.57047,True,7433
124.9643,70.09961,False,7021
179.9476,67.12189,False,9359
187.4974,2.327566,True,3274
92.48802,71.21301,False,6760
117.4392,66.99471,False,6342
169.9447,4.534691,False,3830
152.4798,69.70761,False,9430
149.9778,3.052755,False,3196
124.9607,7.33513,False,4170
210.127,1.946824,True,4331
182.4538,59.6819,False,6874
127.4738,64.63454,False,7412
167.456419,3.310281145,True,387
129.9621,2.073632,False,2617
242.6281,3.255652,True,3004
152.4555,67.22133,False,9317
235.1372,38.7682,True,6610
149.944668,6.735271694,True,1689
94.97283,13.00557,False,4412
164.9715,65.18605,False,6058
257.6549,67.15579,False,5018
129.9483,67.1766,False,5650
152.466,49.07593,False,9325
182.4433,16.5852,False,2673
139.9568,63.05008,False,5557
172.4705,61.30659,False,7308
159.965,50.60009,False,8504
159.9656,56.716,False,5403
162.471255,1.550200335,False,1441
200.132293,9.734064703,True,330
172.470522,1.963127209,True,1285
92.48802,67.675,False,6839
219.9902,59.16562,False,7485
192.4705,15.23335,False,2940
127.4586,59.33902,False,9978
174.9768,62.11875,False,5897
177.48762,4.902104964,True,561
124.9607,5.606293,True,4166
117.4392,68.4249,False,8102
104.9629,67.5801,False,7056
104.9643,3.94227,True,4810
112.4551,15.4522,False,4534
225.145743,10.19944078,True,1935
119.9897,14.55246,True,4298
149.9378,7.445235,False,4604
204.9634,69.97639,False,7906
157.4836,18.32428,False,4382
159.965008,4.065555679,True,639
179.9656,11.99482,False,4824
159.9512,63.87305,False,7921
147.4601,66.31705,False,7425
127.4601,67.20609,False,6168
220.1185,61.28236,False,8230
152.495236,1.281566108,True,348
207.6094,6.971587,True,4753
147.4738,69.30616,False,8954
147.4893,71.58111,False,9749
220.161527,12.70583343,False,1813
114.9509,49.26265,False,7303
159.965,5.63873,False,2278
124.960655,2.39088492,False,1037
172.4733,46.84079,False,9720
175.0048,12.50785,False,3776
92.48802,44.57297,False,8350
134.950905,1.375013189,False,564
252.624,58.85834,False,8596
192.4567,5.111408,False,2019
197.4725,15.12639,True,3164
169.9447,52.53037,False,8352
104.964303,8.951793883,False,395
232.624,8.380626,True,4570
127.4738,67.11209,False,9005
262.6106,61.79083,False,6644
114.997564,5.179004124,False,830
159.9656,3.08799,True,2043
139.9568,4.415788,False,3616
149.9778,6.42531,False,4829
124.9643,66.62742,False,5232
172.4567,70.50313,False,8708
174.9919,4.731989,False,3067
172.47417,7.29973843,False,657
137.4836,59.14016,False,9971
102.474625,8.853636698,False,1077
129.9483,59.15346,False,6471
137.5165,15.82734,False,4111
149.9778,71.08539,False,5542
139.965,61.9981,False,6419
220.118516,14.53027663,False,151
112.4844,11.81853,False,3064
182.465269,24.8868126,False,364
159.9642,6.363764,True,2101
154.9919,67.19295,False,5830
174.9699,69.7211,False,8271
175.0211,55.66796,False,6159
127.4783,66.22209,False,5659
149.9776,65.2908,False,8161
